Tea_Type,Sugar_Added,Temperature_C,Brew_Time_min,Milk_Added,Smell_Strength,Color_Strength,Liked
Herbal,Yes,99,5,No,Weak,Light,No
Herbal,Yes,72,1,Yes,Medium,Medium,Yes
Black,Yes,96,1,No,Strong,Medium,Yes
Green,No,82,2,No,Weak,Dark,Yes
Herbal,Yes,78,1,Yes,Medium,Light,No
Herbal,No,96,4,No,Weak,Dark,Yes
Oolong,Yes,75,6,Yes,Medium,Light,No
Herbal,Yes,85,2,Yes,Strong,Dark,Yes
Oolong,No,89,1,No,Medium,Dark,Yes
Black,No,73,1,Yes,Strong,Medium,Yes
Black,Yes,71,1,Yes,Weak,Light,No
Green,Yes,83,6,Yes,Strong,Light,Yes
Herbal,Yes,94,2,Yes,Medium,Light,No
Oolong,No,80,1,Yes,Medium,Medium,Yes
Herbal,No,71,3,Yes,Strong,Dark,No
Herbal,No,75,4,No,Strong,Medium,Yes
Oolong,Yes,99,2,No,Medium,Dark,Yes
Oolong,No,77,3,No,Weak,Medium,Yes
Green,No,83,5,No,Medium,Light,Yes
Black,No,77,1,No,Medium,Dark,Yes
Green,Yes,98,6,Yes,Strong,Dark,Yes
Black,Yes,83,3,Yes,Medium,Medium,Yes
Oolong,Yes,93,6,No,Weak,Medium,No
Herbal,Yes,100,1,Yes,Medium,Light,Yes
Green,Yes,89,4,No,Weak,Dark,Yes
Herbal,No,82,5,No,Weak,Medium,No
Herbal,Yes,88,1,Yes,Strong,Light,No
Oolong,No,92,3,Yes,Medium,Dark,Yes
Green,No,89,4,Yes,Weak,Dark,No
Black,No,74,6,No,Medium,Light,Yes
Oolong,No,89,2,No,Weak,Medium,Yes
Black,Yes,82,2,No,Weak,Light,Yes
Herbal,No,82,6,Yes,Weak,Dark,Yes
Oolong,Yes,75,4,No,Strong,Dark,No
Oolong,Yes,84,5,No,Weak,Medium,No
Oolong,Yes,88,1,No,Medium,Light,No
Herbal,Yes,89,4,No,Weak,Light,No
Herbal,Yes,79,2,Yes,Strong,Dark,Yes
Herbal,Yes,77,5,Yes,Medium,Medium,Yes
Oolong,Yes,99,4,Yes,Weak,Medium,Yes
Oolong,No,78,1,No,Weak,Dark,No
Oolong,No,87,5,No,Strong,Light,Yes
Oolong,No,75,2,Yes,Weak,Light,No
Green,Yes,80,2,No,Medium,Medium,No
Green,No,70,3,No,Strong,Light,Yes
Oolong,Yes,91,6,Yes,Strong,Dark,Yes
Herbal,Yes,92,3,Yes,Medium,Medium,Yes
Herbal,Yes,82,4,Yes,Weak,Dark,Yes
Herbal,Yes,92,4,No,Strong,Light,Yes
Green,Yes,91,2,Yes,Strong,Light,No
Green,No,87,3,Yes,Weak,Dark,Yes
Herbal,Yes,99,6,Yes,Medium,Dark,Yes
Herbal,Yes,89,6,No,Medium,Light,No
Herbal,Yes,79,3,Yes,Weak,Medium,No
Black,Yes,74,5,No,Medium,Light,Yes
Oolong,No,84,2,No,Weak,Medium,No
Oolong,Yes,95,6,Yes,Weak,Medium,No
Herbal,No,75,1,No,Weak,Dark,Yes
Green,Yes,77,2,Yes,Medium,Medium,Yes
Green,Yes,86,4,No,Medium,Light,No
Herbal,No,82,2,No,Strong,Medium,Yes
Green,Yes,78,5,Yes,Weak,Medium,No
Green,Yes,79,3,No,Strong,Medium,Yes
Green,Yes,83,4,No,Weak,Medium,Yes
Green,No,88,1,No,Strong,Light,No
Black,Yes,76,4,Yes,Strong,Light,No
Herbal,No,78,6,Yes,Medium,Medium,Yes
Green,No,72,4,Yes,Medium,Medium,No
Black,Yes,72,5,Yes,Medium,Dark,No
Green,No,90,3,No,Strong,Dark,No
Oolong,No,84,6,Yes,Weak,Medium,No
Herbal,Yes,70,3,No,Weak,Dark,No
Herbal,No,80,4,No,Weak,Dark,No
Black,No,97,5,Yes,Weak,Dark,No
Herbal,No,88,4,No,Medium,Medium,Yes
Black,No,99,2,Yes,Strong,Dark,Yes
Green,Yes,98,5,Yes,Strong,Dark,No
Herbal,No,88,2,No,Medium,Medium,No
Oolong,No,78,5,No,Strong,Light,Yes
Black,Yes,97,4,No,Strong,Medium,No
Black,Yes,86,2,No,Weak,Medium,No
Black,No,89,3,No,Medium,Dark,No
Herbal,Yes,89,6,No,Strong,Dark,Yes
Black,Yes,77,4,Yes,Medium,Medium,Yes
Black,No,81,6,No,Strong,Dark,No
Green,Yes,96,3,No,Strong,Dark,No
Herbal,Yes,88,2,Yes,Strong,Dark,Yes
Green,Yes,85,3,No,Strong,Dark,Yes
Black,No,82,4,Yes,Medium,Dark,No
Herbal,No,80,3,Yes,Medium,Dark,No
Black,No,78,6,No,Medium,Dark,No
Green,No,74,3,Yes,Strong,Dark,Yes
Green,Yes,85,3,Yes,Medium,Medium,Yes
Oolong,Yes,70,1,No,Strong,Medium,Yes
Oolong,Yes,78,6,Yes,Medium,Light,Yes
Black,No,78,6,No,Medium,Medium,Yes
Herbal,Yes,98,4,Yes,Strong,Dark,Yes
Black,Yes,78,4,No,Weak,Medium,No
Black,Yes,94,3,Yes,Strong,Dark,Yes
Oolong,Yes,96,2,No,Medium,Light,No
